work_id,title,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits
18688519,in silence and darkness,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: The Clone Wars (2008) - All Media Types, Star Wars: Rebels",,Ahsoka Tano,,English,2019-05-03,Completed,2019-05-03,0,1/1,5,19,null,121
8289325,Alone,General Audiences,,Star Wars: Rebels,"Ketsu Onyo & Sabine Wren, Ketsu Onyo/Sabine Wren","Sabine Wren, Ketsu Onyo","Angst, Sabine's past, Friendship, This is a really dark story, I'm Sorry, Attempted Suicide, is fluffy angst a thing?, cause this is it, Pre-Canon",English,2016-10-15,Completed,2016-10-29,2492,2/2,7,19,3,300
19016542,a setting sun to hide the ruins,Explicit,M/M,"Star Wars: Rebels, Star Wars - All Media Types","Thrawn | Mitth'raw'nuruodo/Eli Vanto, Eli Vanto/Kanan Jarrus, Grand Inquisitor/Kanan Jarrus","Eli Vanto, Thrawn | Mitth'raw'nuruodo, Kanan Jarrus, Grand Inquisitor (Star Wars)","Porn With Plot, TBH Porn Drives the Plot, A lot of Not Nice things have happened to Kanan, But this is an attempt at fixing the damage, Tentacles, Consentacles, Implied/Referenced Torture, Kanan Jarrus Needs a Hug, Its Thranto but People Sleep Around (with consent from all involved)",English,2019-05-29,Completed,2019-05-31,6495,4/4,20,19,null,339
11154549,Morutar Yaim,General Audiences,M/M,"Star Wars: Rebels, Star Wars: Rebellion Era - All Media Types, Star Wars - All Media Types","Kallus | ISB-021/Fenn Rau, Kallus | ISB-021 & Fenn Rau","Kallus | ISB-021, Fenn Rau","Family Feels, Babies, Fluff and Angst, Humor, Mandalorian, Cultural Differences, Love, The Jetpack Incident, adorable dads",English,2017-06-09,Completed,2017-06-09,530,1/1,9,19,2,254
13743420,Don't Get Too Close (It's Dark Inside),Teen And Up Audiences,Gen,Star Wars: Rebels,"Space Family (Star Wars Rebels), Minor or Background Relationship(s)","Ezra Bridger, Kanan Jarrus, Grand Inquisitor (Star Wars), Hera Syndulla, Garazeb ""Zeb"" Orrelios, Sabine Wren, C1-10P | Chopper","Minor Kanan Jarrus/Hera Syndulla, Cross-Posted on FanFiction.Net, Alternate Universe, more tags (probably) to be added later",English,2018-02-20,Updated,2018-02-20,5421,4/?,3,19,6,398
10314179,The Jewel Garden,Teen And Up Audiences,,"Star Wars: Rebels, Star Wars - All Media Types, Star Wars: Rebellion Era - All Media Types",,"Ezra Bridger, Kanan Jarrus, Darth Maul, Arihnda Pryce, Thrawn | Mitth'raw'nuruodo, Hera Syndulla",,English,2017-03-15,Completed,2017-08-04,110547,7/7,10,19,1,1110
14700000,Before the Dawn,General Audiences,Gen,Star Wars: Rebels,Hera Syndulla & Sabine Wren,"Hera Syndulla, Sabine Wren","Family, Hurt/Comfort",English,2018-05-18,Completed,2018-05-18,955,1/1,4,19,1,218
21076175,The Beginning,Teen And Up Audiences,Gen,Star Wars: Rebels,,"Ezra Bridger, Mira Bridger, Ephraim Bridger","Alternate Universe, Child Abuse, Whumptober",English,2019-10-18,Completed,2019-10-18,1557,1/1,null,19,1,185
14829557,Empty,Teen And Up Audiences,Gen,Star Wars: Rebels,Hera Syndulla & Sabine Wren,"Hera Syndulla, Sabine Wren",,English,2018-06-02,Completed,2018-06-02,2318,1/1,2,19,2,236
12243405,Drunk Agent,Teen And Up Audiences,,Star Wars: Rebels,,"Agent/Alexsandr Kallus, Garazeb ""Zeb"" Orrelios, Ezra Bridger, Hera Syndulla, Kanan Jarrus, C1-10P | Chopper","drunk Kallus, Drunk Zeb, drinking competition",English,2017-10-02,Completed,2017-10-02,3085,1/1,2,19,null,328
18003959,You've Gato be Kidding Me,General Audiences,Gen,"Star Wars - All Media Types, Star Wars Original Trilogy, Star Wars: Rebels",Leia Organa & Luke Skywalker,"Hera Syndulla, Luke Skywalker, Leia Organa","Cats, Kittens, accidental kitten acquisition, Fluff, self-indulgent fluff like you wouldn't believe",English,2019-03-05,Completed,2019-03-05,1460,1/1,2,19,null,153
10993677,Love's Savage Desire - A Holo-book Romance,General Audiences,Gen,Star Wars: Rebels,"Kanan Jarrus & Hera Syndulla, Space Family (Star Wars Rebels)","Ezra Bridger, Garazeb ""Zeb"" Orrelios, Sabine Wren, Kanan Jarrus","Fluff and Humor, stuff and nonsense, Bad 'romance novels'",English,2017-05-25,Completed,2017-05-25,1080,1/1,6,19,2,286
18217670,work ethic,General Audiences,,"Star Wars: Rebels, Star Wars: Rebellion Era - All Media Types, Star Wars Original Trilogy","Ezra Bridger & Kanan Jarrus, Ezra Bridger & Sabine Wren, Thrawn | Mitth'raw'nuruodo & Sabine Wren","Ezra Bridger, Sabine Wren, Kanan Jarrus, Hera Syndulla, C1-10P | Chopper, AP-5 (Star Wars), Thrawn | Mitth'raw'nuruodo, Arihnda Pryce, Leia Organa, Maketh Tua, Jai Kell, Mart Mattin, Cumberlayne Aresko, Myles Grint","Humor, Funny, (At Least I Hope It Is), Alternate Universe - Modern Setting, Alternate Universe - High School, High School, Teenagers, Skipping Class, Plans For The Future, (or lack thereof), Service Dogs, Dog!Chopper, Dog!AP, Alternate Universe - Teachers",English,2019-03-24,Completed,2019-03-24,501,1/1,6,19,2,355
21578065,we walk through the fire,General Audiences,Gen,"Star Wars - All Media Types, Star Wars: Rebels",Ezra Bridger & Thrawn | Mitth'raw'nuruodo,"Ezra Bridger, Thrawn | Mitth'raw'nuruodo","Post-Canon, Post-Episode: s04e15-16 Family Reunion - and Farewell, First Order Politics (Star Wars), Double Agents, The Dark Side of the Force",English,2019-11-27,Completed,2019-11-27,928,1/1,2,19,2,193
